division,position,position_raw,name,event_relative_score,event_total_score,pdga_number,username,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,hole_19,hole_20,hole_21
GOLD,1,1,Joshua Downey,-11,53,114479,joshdowney,-11,53,3,3,2,2,3,3,3,3,2,2,3,2,3,2,2,3,3,3,2,2,2
GOLD,2,2,Andrew Eckert,-9,55,277257,jerseyeckert,-9,55,3,3,3,2,2,3,2,3,3,2,3,3,2,2,3,2,2,3,3,3,3
GOLD,T3,3,Paul Williams,-6,58,24252,aceonthefly,-6,58,3,3,2,2,3,3,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3
GOLD,T3,3,Tony Washington,-6,58,,teedub1987,-6,58,3,3,2,4,2,2,3,4,3,3,3,3,3,3,2,2,3,4,2,2,2
GOLD,T5,5,Kendall Wyatt,-5,59,79976,ken1645,-5,59,4,3,2,2,3,3,2,3,4,3,5,3,2,3,2,2,3,2,2,3,3
GOLD,T5,5,Adis Ismic,-5,59,128858,adisio,-5,59,2,3,3,3,3,2,3,3,3,3,5,2,3,4,2,2,3,3,2,2,3
GOLD,T7,7,Jeff Turner,-4,60,21671,jt9696,-4,60,3,4,3,2,3,3,2,3,3,3,5,3,3,3,2,2,2,3,2,3,3
GOLD,T7,7,Corey Steinmann ,-4,60,139803,cscobra9,-4,60,3,3,2,4,3,3,2,4,3,2,3,4,3,3,2,2,2,3,3,3,3
GOLD,T9,9,Jeff Clark,-3,61,134168,jeffclark,-3,61,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
GOLD,T9,9,Chris Lindsey,-3,61,158031,bananas420,-3,61,3,4,3,3,4,3,2,3,2,3,4,3,3,3,2,2,3,3,3,2,3
GOLD,11,11,Justin Stair,-2,62,31445,stairboy,-2,62,3,3,2,2,3,3,2,3,6,2,5,3,3,3,2,3,2,3,3,2,4
GOLD,12,12,Jack Soete,-1,63,,jetpackjack69,-1,63,3,3,2,3,2,3,3,3,5,3,6,3,3,2,2,3,3,3,3,3,2
GOLD,T13,13,Charlie Vercher,0,64,66995,cverch,0,64,3,3,2,3,3,3,3,3,4,2,6,2,3,3,4,2,3,3,3,3,3
GOLD,T13,13,Daniel Vasquez,0,64,258421,liamnoe4321,0,64,2,4,3,2,3,3,3,3,3,2,5,3,3,4,3,2,3,4,3,2,4
GOLD,15,15,Erik Soete,3,67,,ericsoete,3,67,3,3,3,2,3,3,3,3,3,2,5,3,3,3,4,3,6,3,3,3,3
BLUE,1,1,Aaron Guillory,-9,55,112712,arongilly,-9,55,3,3,3,2,2,3,3,3,3,2,3,3,3,3,2,2,2,3,2,2,3
BLUE,2,2,John O’Connor,-8,56,,johnoconn,-8,56,3,3,3,2,2,3,3,4,2,2,3,3,3,3,2,2,2,4,2,2,3
BLUE,T3,3,Bryan Dupree,-5,59,98371,bdupree18,-5,59,3,3,2,3,2,3,2,3,3,3,5,3,3,3,2,2,3,4,2,3,2
BLUE,T3,3,Matt Higgins,-5,59,148747,matthiggins,-5,59,3,4,2,3,2,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3
BLUE,T3,3,Walter  Hernandez,-5,59,268739,walterx,-5,59,2,3,2,3,2,3,2,3,4,2,4,3,3,3,2,3,3,3,2,3,4
BLUE,6,6,Nate Golden,-3,61,127611,ngolden21,-3,61,3,4,3,3,3,2,3,3,3,3,4,2,3,3,3,2,3,3,3,2,3
BLUE,T7,7,Ryan Bahde,-2,62,38147,delrey,-2,62,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3
BLUE,T7,7,Ryan Cronauer,-2,62,116264,ryancronauer,-2,62,3,4,2,2,3,3,3,4,2,5,4,4,3,2,2,2,3,3,2,3,3
