division,position,position_raw,name,event_relative_score,event_total_score,pdga_number,username,round_relative_score,round_total_score,hole_1,hole_2L,hole_3,hole_4,hole_5L,hole_6L,hole_7,hole_8L,hole_9L,hole_10,hole_11,hole_12,hole_13,hole_14L,hole_15,hole_16L,hole_17,hole_18L,hole_19,hole_20L,hole_21
GOLD,1,1,Daniel Vasquez,-15,51,258421,liamnoe4321,-15,51,2,3,2,2,3,3,2,3,3,2,3,2,2,2,2,3,2,3,2,3,2
GOLD,T2,2,Matthew Barajas,-10,56,71050,mattbjas,-10,56,3,4,3,2,3,2,2,3,3,2,4,3,2,2,2,3,3,3,3,2,2
GOLD,T2,2,Joshua Downey,-10,56,114479,joshdowney,-10,56,3,3,2,2,3,3,2,3,3,2,3,3,3,3,2,3,3,2,3,3,2
GOLD,T2,2,Jeff Clark,-10,56,134168,jeffclark,-10,56,3,3,2,2,3,3,2,3,2,2,3,2,3,3,3,3,3,3,2,3,3
GOLD,5,5,Charlie Vercher,-8,58,66995,cverch,-8,58,3,3,2,2,4,3,3,3,3,2,3,2,3,3,2,3,3,3,2,3,3
GOLD,T6,6,Paul Williams,-6,60,24252,aceonthefly,-6,60,3,3,2,2,3,3,3,4,3,2,3,3,4,3,3,3,3,3,2,3,2
GOLD,T6,6,Andrew Eckert,-6,60,277257,jerseyeckert,-6,60,3,3,2,3,3,3,3,4,3,3,3,2,3,2,2,3,3,3,3,3,3
GOLD,8,8,Jeff Turner,-4,62,21671,jt9696,-4,62,3,4,3,3,3,3,3,4,3,2,4,3,3,3,3,3,2,3,2,2,3
GOLD,9,9,Chris Lindsey,-3,63,158031,bananas420,-3,63,3,3,3,2,3,3,3,4,3,2,3,3,4,2,4,2,4,4,2,3,3
GOLD,T10,10,Kendall Wyatt,-2,64,79976,ken1645,-2,64,3,3,3,2,4,2,3,3,4,2,4,2,3,5,2,4,3,4,3,3,2
GOLD,T10,10,Spokes ,-2,64,,spokes,-2,64,4,3,3,2,3,3,3,5,4,3,3,3,3,3,2,3,3,4,2,2,3
BLUE,T1,1,Michael Garcia,-11,55,172561,michaelgarcia22,-11,55,3,3,2,2,3,2,2,4,3,2,3,3,3,3,2,3,2,3,3,2,2
BLUE,T1,1,Walter  Hernandez,-11,55,268739,walterx,-11,55,2,3,2,2,3,3,3,3,3,2,3,3,3,2,2,2,3,4,2,3,2
BLUE,3,3,ISMAEL LLAMAS JR,-6,60,187567,ismaelllamasjr,-6,60,3,4,2,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3
BLUE,T4,4,Nate Golden,-5,61,127611,ngolden21,-5,61,3,3,3,2,2,3,3,5,3,2,3,3,3,4,2,3,2,3,3,3,3
BLUE,T4,4,Albert Longoria,-5,61,134311,albertlongoria,-5,61,3,3,4,3,3,3,2,4,3,2,3,2,3,3,3,3,2,3,3,3,3
BLUE,T6,6,Joseph Plumb,-2,64,128029,joejams,-2,64,3,3,3,2,2,3,3,4,4,3,3,3,3,3,4,3,4,3,3,3,2
BLUE,T6,6,Tommy Samson,-2,64,160149,goatkindaguy,-2,64,2,4,3,2,3,3,2,4,3,3,4,4,3,3,2,2,5,4,2,3,3
BLUE,T8,8,Bryan Dupree,-1,65,98371,bdupree18,-1,65,3,4,2,2,3,3,3,4,3,2,3,4,3,3,3,3,4,5,3,3,2
BLUE,T8,8,Matt Higgins,-1,65,148747,matthiggins,-1,65,3,4,3,3,3,3,3,4,3,2,3,3,3,4,3,3,3,3,3,3,3
BLUE,T8,8,Dylan Epley,-1,65,162111,depley,-1,65,3,3,2,3,3,3,2,3,4,3,3,3,5,5,3,3,3,3,3,3,2
BLUE,11,11,Ted G,0,66,,tedg27,0,66,3,3,3,3,3,4,3,3,3,3,4,2,3,3,4,3,3,4,3,3,3
BLUE,T12,12,Ryan Cronauer,2,68,116264,ryancronauer,2,68,4,3,3,3,4,4,2,4,3,2,5,3,3,3,2,3,3,4,3,3,4
BLUE,T12,12,Scott Brignac,2,68,142966,scottbrignac,2,68,3,4,3,2,3,3,3,4,4,3,4,4,4,3,3,3,3,4,3,2,3
BLUE,T14,14,Ryan Bahde,3,69,38147,delrey,3,69,4,5,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3
BLUE,T14,14,Daniel Watson,3,69,152702,mcp1sr,3,69,3,3,3,3,4,3,3,5,5,3,4,3,3,3,3,3,3,4,3,2,3
WHITE,1,1,El Rebo,-6,60,295722,elrebo,-6,60,2,3,2,2,3,3,3,3,4,3,5,3,3,3,2,2,3,3,3,2,3
WHITE,2,2,Matthew Patrolia,-4,62,,matthew15,-4,62,3,4,3,3,3,3,3,3,3,2,4,3,3,3,3,3,2,4,3,2,2
WHITE,3,3,John Thurston,-2,64,,gtfuzz,-2,64,3,3,2,3,3,4,3,5,4,2,4,2,3,3,2,3,3,4,3,3,2
WHITE,T4,4,Daniel Pineda,-1,65,31662,danielp31662,-1,65,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3
WHITE,T4,4,James Yerby,-1,65,210220,jryerb,-1,65,3,4,3,3,4,3,3,3,4,2,3,3,3,3,2,3,3,5,2,3,3
WHITE,T6,6,Phillip Martinez,0,66,192515,phillip15,0,66,3,3,2,2,4,3,3,4,5,3,4,3,3,3,3,3,3,3,2,3,4
WHITE,T6,6,Stefan Scepanovic,0,66,271523,scepa991,0,66,3,3,2,3,3,3,4,4,4,3,4,4,3,3,2,2,3,3,4,3,3
WHITE,T6,6,Patrick Fitzgerald,0,66,,prolandscaper,0,66,3,3,2,2,4,3,3,4,3,3,3,2,6,4,2,3,3,4,2,3,4
WHITE,T9,9,Dennis Woodward,1,67,52512,jackpsquat,1,67,3,4,2,2,3,3,3,4,4,3,4,4,3,3,3,3,3,4,3,3,3
